datetime,open,high,low,close,volume,dividends,stock_splits,volatility,SMA_20,EMA_20,RSI,daily_return,cumulative_return,momentum
2025-05-28-00,962.2000122070312,962.2000122070312,962.2000122070312,962.2000122070312,3532.0,0.0,0.0,0.0,0.0,962.2,0.0,0.0,0.0,0.0
2025-05-29-00,962.0,977.0,958.0,967.2999877929688,550.0,0.0,0.0,0.0,0.0,962.6857,0.0,0.0053,1.0053,0.0
2025-05-30-00,960.0,961.2999877929688,957.0,961.2999877929688,6.0,0.0,0.0,0.0,0.0,962.5537,0.0,-0.0062,0.9991,0.0
2025-06-02-00,977.0,996.0,977.0,988.5999755859375,10.0,0.0,0.0,0.0,0.0,965.0343,0.0,0.0284,1.0274,0.0
2025-06-03-00,1015.0,1015.0,1015.0,1015.0,0.0,0.0,0.0,0.0,0.0,969.793,0.0,0.0267,1.0549,0.0
2025-06-04-00,1010.0,1014.0,1000.2999877929688,1000.2999877929688,27.0,0.0,0.0,0.0,0.0,972.6984,0.0,-0.0145,1.0396,0.0
2025-06-05-00,1038.5,1038.5,1002.5,1006.5,41.0,0.0,0.0,0.0,0.0,975.9176,0.0,0.0062,1.046,0.0
2025-06-06-00,1060.5999755859375,1060.5999755859375,1060.5999755859375,1060.5999755859375,0.0,0.0,0.0,0.0,0.0,983.9826,0.0,0.0538,1.1023,0.0
2025-06-09-00,1079.5,1106.0,1079.5,1084.4000244140625,20.0,0.0,0.0,0.0,0.0,993.5462,0.0,0.0224,1.127,0.0
2025-06-10-00,1074.0,1074.5,1068.0,1068.0,7.0,0.0,0.0,0.0,0.0,1000.637,0.0,-0.0151,1.11,0.0
2025-06-11-00,1087.0999755859375,1087.0999755859375,1087.0999755859375,1087.0999755859375,1.0,0.0,0.0,0.0,0.0,1008.8716,0.0,0.0179,1.1298,0.0
2025-06-12-00,1062.0999755859375,1062.0999755859375,1062.0999755859375,1062.0999755859375,12.0,0.0,0.0,0.0,0.0,1013.9409,0.0,-0.023,1.1038,0.0
2025-06-13-00,1039.5999755859375,1039.5999755859375,1039.5999755859375,1039.5999755859375,0.0,0.0,0.0,0.0,0.0,1016.3847,0.0,-0.0212,1.0804,0.0
2025-06-16-00,1055.5,1055.5,1032.0,1036.699951171875,10.0,0.0,0.0,0.0,0.0,1018.3194,64.9298,-0.0028,1.0774,0.0
2025-06-17-00,1062.300048828125,1062.300048828125,1062.300048828125,1062.300048828125,0.0,0.0,0.0,0.0,0.0,1022.5081,68.1934,0.0247,1.104,100.1
2025-06-18-00,1057.0,1067.0,1057.0,1061.800048828125,0.0,0.0,0.0,0.0,0.0,1026.2502,67.4677,-0.0005,1.1035,94.5001
2025-06-20-00,1046.0,1052.800048828125,1046.0,1052.800048828125,1.0,0.0,0.0,0.0,0.0,1028.7787,66.7276,-0.0085,1.0942,91.5001
2025-06-23-00,1088.5999755859375,1096.0,1088.5999755859375,1088.5999755859375,4.0,0.0,0.0,0.0,0.0,1034.476,67.7305,0.034,1.1314,100.0
